election_id,region_id,distinctiveness,reliability,effective_n,prior_events,maximum_candidate_affinity,absolute_transfer
pres_2017,sido_26,0.10263063531845273,0.6336175659713457,12.495398372604084,16,0.0,0.0
pres_2017,sido_27,0.23442357598680713,0.7194327652760358,12.495398372604084,16,0.0,0.0
pres_2017,sido_28,0.04086193429095628,0.6452480542383547,12.495398372604084,16,0.0,0.0
pres_2017,sido_29,0.4032208816189825,0.7509714824989937,12.495398372604084,16,0.41437500000000005,0.012547580943171533
pres_2017,sido_31,0.17726236134433304,0.6266628340322272,12.249612214086865,15,0.0,0.0
pres_2017,sido_41,0.036236266670372067,0.728924567280637,12.495398372604084,16,0.0,0.0
pres_2017,sido_42,0.07049521802155029,0.735323261524305,12.495398372604084,16,0.0,0.0
pres_2017,sido_45,0.3805214614261095,0.7457813511617423,12.495398372604084,16,0.41437500000000005,0.011759374487305773
pres_2017,sido_46,0.4230333289015819,0.7924555276893912,12.495398372604084,16,0.41437500000000005,0.013891304451480666
pres_2017,sido_47,0.2422219607446624,0.7891736624878071,12.495398372604084,16,0.0,0.0
pres_2017,sido_48,0.14390568755171862,0.6743547165581517,12.495398372604084,16,0.0,0.0
pres_2017,sido_50,0.05830744820447772,0.6029736703187334,6.8595905341568635,10,0.0,0.0
pres_2022,sido_11,0.05611301933967171,0.6833060631448921,15.296942281386338,20,0.0,0.0
pres_2022,sido_26,0.09791181879457464,0.6902345178262403,15.296942281386338,20,0.0,0.0
pres_2022,sido_27,0.23255505681977826,0.7617483692754718,15.296942281386338,20,0.0,0.0
pres_2022,sido_28,0.04023089943847286,0.6526919003371097,15.296942281386338,20,0.0,0.0
pres_2022,sido_29,0.3571332142279522,0.7140329502780126,15.296942281386338,20,0.0,0.0
pres_2022,sido_31,0.1484952705387972,0.6223437174436095,15.087306059784522,19,0.0,0.0
pres_2022,sido_41,0.0336457278152342,0.7448984615017619,15.296942281386338,20,0.42075,0.0010545110360147753
pres_2022,sido_42,0.06953976352946017,0.7691398588199856,15.296942281386338,20,0.0,0.0
pres_2022,sido_45,0.34625625839022856,0.7541670384749731,15.296942281386338,20,0.0,0.0
pres_2022,sido_46,0.36789009040885917,0.7270877060931039,15.296942281386338,20,0.0,0.0
pres_2022,sido_47,0.2445982695614853,0.8187987409612629,15.296942281386338,20,0.0,0.0
pres_2022,sido_48,0.1364811479353921,0.732407989350517,15.296942281386338,20,0.0,0.0
pres_2022,sido_50,0.06621829931664408,0.66122814117658,9.03017330857493,13,0.0,0.0
