bloc,party,issue_name,matched_rows,issue_weight_sum,unique_speakers,emphasis_within,source
국민의힘,신한국당·한나라당,inflation_livelihood,6,2.75,4,0.022294284556141065,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,foreign_policy,7,2.4499999999999997,5,0.019862180786380218,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,gaffe_event,3,1.85,2,0.014997973246858535,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,gender_generation,3,1.0499999999999998,2,0.00851236319416295,15th_assembly_issue_phrase_extraction
국민의힘,신한국당·한나라당,withdrawal_event,3,1.0499999999999998,2,0.00851236319416295,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,corruption_integrity,144,96.6,31,0.12723919915700738,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,economy_growth,123,78.15,34,0.10293730242360381,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,regional_dev,156,70.95,30,0.09345363540569021,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,security_nk,135,70.14999999999999,33,0.09239989462592202,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,candidate_competence,86,52.25,32,0.06882244467860907,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,external_shock,67,51.1,29,0.06730769230769232,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,welfare_pension,86,47.55,29,0.06263171759747102,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,jobs_labor,102,46.9,30,0.06177555321390938,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,education,90,40.5,31,0.05334562697576397,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,foreign_policy,73,40.199999999999996,28,0.052950474183350894,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,regime_change,47,36.0,23,0.04741833508956797,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,inflation_livelihood,55,31.75,27,0.04182033719704953,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,family_legal_risk,67,25.95,27,0.03418071654373024,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,endorsement_event,66,25.45,31,0.03352212855637513,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,gender_generation,37,15.45,20,0.02035036880927292,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,unification_event,19,11.2,13,0.014752370916754479,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,withdrawal_event,24,8.799999999999999,15,0.011591148577449946,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,housing,15,5.8999999999999995,14,0.007771338250790305,15th_assembly_issue_phrase_extraction
국민의힘,한나라당,gaffe_event,9,4.35,7,0.005729715489989463,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,economy_growth,130,75.35,23,0.1427759355755566,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,corruption_integrity,103,66.2,23,0.12543818095689246,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,security_nk,105,47.699999999999996,26,0.09038370440549502,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,regional_dev,89,43.949999999999996,25,0.08327806726669824,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,external_shock,57,41.7,22,0.07901468498342018,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,jobs_labor,59,31.45,20,0.05959261013737565,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,foreign_policy,54,30.55,19,0.057887257224064424,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,welfare_pension,48,28.65,18,0.05428706774040739,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,education,58,25.25,19,0.04784462340123164,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,regime_change,36,24.95,15,0.0472761724301279,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,candidate_competence,47,24.3,17,0.04604452865940313,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,family_legal_risk,59,21.45,22,0.04064424443391757,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,endorsement_event,49,21.099999999999998,23,0.039981051634296536,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,inflation_livelihood,27,15.049999999999999,16,0.028517290383704402,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,gaffe_event,15,8.05,9,0.015253434391283753,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,gender_generation,15,7.2,11,0.013642823306489816,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,housing,17,6.35,9,0.012032212221695877,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,unification_event,9,5.25,8,0.00994789199431549,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의,withdrawal_event,7,3.25,6,0.006158218853623875,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",corruption_integrity,6,4.05,1,0.175704989154013,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",security_nk,4,3.35,1,0.14533622559652928,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",economy_growth,4,2.85,1,0.12364425162689804,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",external_shock,4,2.7,1,0.11713665943600868,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",regime_change,3,1.45,1,0.06290672451193058,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",family_legal_risk,4,1.4,1,0.06073752711496746,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",inflation_livelihood,2,1.35,1,0.05856832971800434,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",jobs_labor,2,1.1,1,0.047722342733188726,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",education,3,1.0499999999999998,1,0.045553145336225585,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",foreign_policy,1,1.0,1,0.04338394793926247,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",welfare_pension,1,1.0,1,0.04338394793926247,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",endorsement_event,2,0.7,1,0.03036876355748373,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",gaffe_event,2,0.7,1,0.03036876355748373,15th_assembly_issue_phrase_extraction
더불어민주당,"국민회의, 새천년민주당",regional_dev,1,0.35,1,0.015184381778741865,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,inflation_livelihood,6,3.4,1,0.16999999999999998,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,external_shock,3,2.75,1,0.1375,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,economy_growth,4,2.7,1,0.135,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,security_nk,7,2.4499999999999997,1,0.12249999999999998,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,gaffe_event,2,1.75,1,0.0875,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,regional_dev,5,1.75,1,0.0875,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,family_legal_risk,3,1.0499999999999998,1,0.05249999999999999,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,foreign_policy,1,1.0,1,0.05,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,education,2,0.7,1,0.034999999999999996,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,welfare_pension,2,0.7,1,0.034999999999999996,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,corruption_integrity,1,0.35,1,0.017499999999999998,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,endorsement_event,1,0.35,1,0.017499999999999998,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,housing,1,0.35,1,0.017499999999999998,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,jobs_labor,1,0.35,1,0.017499999999999998,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의·민주당,regime_change,1,0.35,1,0.017499999999999998,15th_assembly_issue_phrase_extraction
더불어민주당,국민회의당,welfare_pension,4,2.7,1,0.2307692307692308,15th_assembly_issue_phrase_extraction
