assembly_daesu,election_id,speaker_clean,roster_name,member_id,speaker_party,speaker_bloc,mandate_type,district,district_sido,district_bloc_type,term_count,seniority_weight,institutional_role,role_weight,meeting_weight,national_signal_weight,local_signal_weight,cross_region_signal_weight,base_mobilization_weight,mapping_confidence,notes
17,pres_2007,참고인 송경옥,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 오용협,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 왕정문,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 우희종,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 윤석원,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 이인,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 이정현,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 이창석,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 이현숙,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 임성만,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 장만영,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 정동양,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 정백향,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 정진자,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 정태인,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 조승국,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 추부길,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,참고인 홍종호,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,창원대학교총장 박성호,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,창원지방검찰청검사장 이한성,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,창원지방법원장 최진갑,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,채수찬,채수찬,6139,통합민주당,통합민주당,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
17,pres_2007,채수찬 위원,,6139,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,채수찬 위원,,6139,,,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,채일병 위원,,6150,,,government,,,government,1,1.0,president,1.3,1.0,0.9,0.1,0.0,0.0,0.7,role inferred from transcript speaker label
17,pres_2007,채일병 위원,,6150,,,government,,,government,1,1.0,prime_minister,1.25,1.0,0.9,0.1,0.0,0.0,0.7,role inferred from transcript speaker label
17,pres_2007,채일병 위원,,6150,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,천영세,천영세,6159,민주노동당,민주노동당,district,,,unknown,1,1.0,party_leadership,1.12,1.15,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
17,pres_2007,천영세 위원,,6159,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,천정배 위원,,6164,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,청주지방검찰청검사장 박용석,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,청주지방법원장 김이수,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최경환 위원,,6182,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최경환 위원,,6182,,,district,,,unknown,1,1.0,member,1.0,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최구식 위원,,6194,,,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최구식 위원,,6194,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최규성 위원,,6201,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최규식 위원,,6211,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최병국,최병국,6252,한나라당,국민의힘,district,,,unknown,2,1.05,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
17,pres_2007,최병국,최병국,6252,한나라당,국민의힘,district,,,unknown,2,1.05,committee_chair,1.08,1.0,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
17,pres_2007,최병국,최병국,6252,한나라당,국민의힘,government,,,government,2,1.05,minister,1.15,1.0,0.9,0.1,0.0,0.0,0.9,speaker matched to Assembly roster/member history
17,pres_2007,최성 위원,,6285,,,government,,,government,1,1.0,prime_minister,1.25,1.0,0.9,0.1,0.0,0.0,0.7,role inferred from transcript speaker label
17,pres_2007,최성 위원,,6285,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최성 위원,,6285,,,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최순영,최순영,6294,민주노동당,민주노동당,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
17,pres_2007,최순영 위원,,6294,,,government,,,government,1,1.0,president,1.3,1.0,0.9,0.1,0.0,0.0,0.7,role inferred from transcript speaker label
17,pres_2007,최순영 위원,,6294,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최순영 위원,,6294,,,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최연희 위원,,6297,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최연희 위원,,6297,,,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최용규,최용규,6323,중도개혁통합신당,중도개혁통합신당,district,,,unknown,2,1.05,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
17,pres_2007,최용규 위원,,6323,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최인기 위원,,6355,,,government,,,government,1,1.0,president,1.3,1.0,0.9,0.1,0.0,0.0,0.7,role inferred from transcript speaker label
17,pres_2007,최인기 위원,,6355,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최재성,최재성,6374,열린우리당,더불어민주당,district,,,unknown,1,1.0,member,1.0,1.25,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
17,pres_2007,최재성 위원,,6374,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최재천,최재천,6380,통합민주신당,통합민주신당,district,,,unknown,1,1.0,member,1.0,1.25,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
17,pres_2007,최재천 위원,,6380,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최철국,최철국,6400,열린우리당ㆍ통합민주당,열린우리당ㆍ통합민주당,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.9,speaker matched to Assembly roster/member history
17,pres_2007,최철국 위원,,6400,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,최철국 위원,,6400,,,district,,,unknown,1,1.0,party_leadership,1.12,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,춘천지방검찰청검사장 박태규,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,춘천지방법원장 최은수,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충남대학교병원장 송시헌,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충남대학교총장직무대리 김지환,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충북대학교기획처장 김경석,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충북대학교병원장 송영진,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충북대학교총장 임동철,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
17,pres_2007,충청남도교육감 오제직,,,,,district,,,unknown,1,1.0,unknown,0.8,1.0,0.4,0.6,0.0,0.0,0.45,role inferred from transcript speaker label
