election_id,region_id,beneficiary_slot,burdened_slot,projected_margin,government_rejection_strength,dominance_activation,regime_certainty,veto_rate,base_runner_core_floor,rupture_floor_activation,theoretical_floor,effective_runner_floor,runner_flexible_mass,transfer
pres_2007,sido_46,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.5029111122911554,-0.0,0.01,0.5029111122911554,0.2408030102911023,0.031078979450206035
pres_2007,sido_47,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.0657725937548299,-0.0,0.01,0.0657725937548299,0.0344502095151326,0.004446278940955831
pres_2007,sido_48,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.0970800487059941,-0.0,0.01,0.0970800487059941,0.0619077200357028,0.007990052767499846
pres_2007,sido_50,A,B,0.15072297711005234,0.1830565695612803,0.7050493524084417,1.0,0.12906391582329155,0.0,-0.0,0.01,0.0,0.2635301769408492,0.034012236573590884
pres_2017,sido_11,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.2949081278890789,0.8660254037844386,0.01,0.039510197354626485,0.26880696987055186,0.03382766373831149
pres_2017,sido_26,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.3502460223475259,0.8660254037844386,0.01,0.046924069420116274,0.3270517346527235,0.041157400457999864
pres_2017,sido_27,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.4584203149637055,0.8660254037844386,0.01,0.061416676594272926,0.4191721725897069,0.05275017723554745
pres_2017,sido_28,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.2895634237612615,0.8660254037844386,0.01,0.03879414277721051,0.2711262865215144,0.03411953512769254
pres_2017,sido_29,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.0341806016229801,0.8660254037844386,0.01,0.01,0.040495134549259695,0.005096057573320038
pres_2017,sido_30,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.237098748600481,0.8660254037844386,0.01,0.03176520910696434,0.22521116590814594,0.028341406452825922
pres_2017,sido_31,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.3520195864422313,0.8660254037844386,0.01,0.047161681953566854,0.32573277186682187,0.040991417300545605
pres_2017,sido_36,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.1724331995485346,0.8660254037844386,0.01,0.023101668283672248,0.18536554427674526,0.023327085988441732
pres_2017,sido_41,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.2872485013786314,0.8660254037844386,0.01,0.038484001985727274,0.269629133289128,0.03393112782510555
pres_2017,sido_42,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.3343972043956962,0.8660254037844386,0.01,0.044800730434525954,0.3116026055846375,0.039213224890615364
pres_2017,sido_43,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.28798814407396,0.8660254037844386,0.01,0.03858309531717771,0.2703115341772855,0.03401700367791708
pres_2017,sido_44,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.2530098681455589,0.8660254037844386,0.01,0.03389689492335369,0.23987806164507663,0.03018714288336823
pres_2017,sido_45,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.0682483484546126,0.8660254037844386,0.01,0.01,0.0809244810956182,0.010183836140923714
pres_2017,sido_46,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.0438553923470368,0.8660254037844386,0.01,0.01,0.0502269775621537,0.006320748708199273
pres_2017,sido_47,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.482804365179678,0.8660254037844386,0.01,0.06468351987605782,0.44035591692904097,0.05541601800810793
pres_2017,sido_48,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.4142297435249934,0.8660254037844386,0.01,0.055496262629236556,0.39495924730721915,0.04970313312440967
pres_2017,sido_50,A,B,0.15670263673967133,0.1258437002381364,1.0,1.0,0.1258437002381364,0.2371589143860602,0.8660254037844386,0.01,0.031773269793793316,0.2352119808840688,0.029599946014793023
