variant,strong_incumbent_veto_gain,rupture_floor_erosion_enabled,weak_same_lane_gain,weak_floor_mode,recipient_weight_mode,election_id,regional_weighted_mae_pp,rows,national_candidate_mae_pp
strong_1.00__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,1.0,False,0.25,candidate_ballot,affinity_only,pres_2007,4.040512064904603,48,1.1211846070051759
strong_1.00__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,1.0,False,0.25,candidate_ballot,affinity_only,pres_2012,2.559193926025741,34,1.0323421899684133
strong_1.00__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,1.0,False,0.25,candidate_ballot,affinity_only,pres_2017,4.250059645429084,51,2.6490648110822006
strong_1.00__rupture_0__weak_0.25__floor_candidate_ballot__recipient_affinity_only,1.0,False,0.25,candidate_ballot,affinity_only,pres_2022,2.116164694266485,51,1.6696595997068417
strong_1.00__rupture_0__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,1.0,False,0.25,candidate_ballot,prediction_tilted,pres_2002,3.4262181249633064,48,3.321093057863205
strong_1.00__rupture_0__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,1.0,False,0.25,candidate_ballot,prediction_tilted,pres_2007,4.040512064904603,48,1.1211846070051759
strong_1.00__rupture_0__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,1.0,False,0.25,candidate_ballot,prediction_tilted,pres_2012,2.559193926025741,34,1.0323421899684133
strong_1.00__rupture_0__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,1.0,False,0.25,candidate_ballot,prediction_tilted,pres_2017,4.250059645429084,51,2.6490648110822006
strong_1.00__rupture_0__weak_0.25__floor_candidate_ballot__recipient_prediction_tilted,1.0,False,0.25,candidate_ballot,prediction_tilted,pres_2022,2.1060614121832586,51,1.6696595997068417
strong_1.00__rupture_0__weak_0.25__floor_theoretical__recipient_affinity_only,1.0,False,0.25,theoretical,affinity_only,pres_2002,2.999937253725441,48,2.832760124503643
strong_1.00__rupture_0__weak_0.25__floor_theoretical__recipient_affinity_only,1.0,False,0.25,theoretical,affinity_only,pres_2007,4.040512064904603,48,1.1211846070051759
strong_1.00__rupture_0__weak_0.25__floor_theoretical__recipient_affinity_only,1.0,False,0.25,theoretical,affinity_only,pres_2012,2.559193926025741,34,1.0323421899684133
strong_1.00__rupture_0__weak_0.25__floor_theoretical__recipient_affinity_only,1.0,False,0.25,theoretical,affinity_only,pres_2017,4.250059645429084,51,2.6490648110822006
