election_id,assembly_daesu,period,issue_name,sentence_count,weighted_mentions,first_observed_date,last_observed_date,available_date,source
pres_2025,21,2022-04-18,external_shock,80,50.71500000000003,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,family_legal_risk,29,11.199999999999994,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,foreign_policy,12,7.799999999999998,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,gaffe_event,3,2.625,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,gender_generation,4,2.05,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,housing,101,56.51625000000007,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,inflation_livelihood,228,139.25999999999954,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,jobs_labor,94,56.22500000000008,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regime_change,60,14.70243700000001,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,regional_dev,28,10.449999999999994,2022-04-19,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,security_nk,52,18.2,2022-04-20,2022-04-20,2022-04-20,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,unification_event,4,2.7,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,welfare_pension,42,33.05000000000002,2022-04-19,2022-04-19,2022-04-19,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-18,withdrawal_event,1,1.225,2022-04-22,2022-04-22,2022-04-22,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,candidate_competence,107,65.50000000000003,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,corruption_integrity,1313,709.1830000000106,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,economy_growth,32,13.569999999999993,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,education,116,44.250000000000085,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,endorsement_event,41,15.94999999999999,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,external_shock,33,15.884999999999993,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,family_legal_risk,124,53.1750000000001,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,foreign_policy,46,17.92499999999999,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,gaffe_event,2,0.7,2022-04-27,2022-04-27,2022-04-27,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,gender_generation,25,16.174999999999997,2022-04-26,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,housing,41,15.85249999999999,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,inflation_livelihood,34,13.474999999999993,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,jobs_labor,45,17.049999999999994,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,regime_change,177,72.84675500000016,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,regional_dev,45,19.95000000000001,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,security_nk,37,14.899999999999993,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,unification_event,8,2.8000000000000003,2022-04-27,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,welfare_pension,31,14.099999999999994,2022-04-25,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-25,withdrawal_event,18,6.299999999999998,2022-04-26,2022-04-30,2022-04-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,candidate_competence,517,320.77500000000094,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,corruption_integrity,689,383.9355000000009,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,economy_growth,1158,537.3875000000081,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,education,467,199.59999999999823,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,endorsement_event,139,53.10000000000012,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,external_shock,409,253.7154999999994,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,family_legal_risk,705,304.17499999999967,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,foreign_policy,712,414.6500000000042,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,gaffe_event,30,24.225,2022-05-02,2022-05-04,2022-05-04,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,gender_generation,233,121.44999999999986,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,housing,363,190.59124999999938,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,inflation_livelihood,245,138.92499999999956,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
pres_2025,21,2022-05-02,jobs_labor,1094,609.9000000000091,2022-05-02,2022-05-06,2022-05-06,assembly_stance_full_corpus_v1
