election_id,assembly_daesu,period,issue_name,target_type,target_name,target_model_eligible,stance_label,sentence_count,weighted_mentions,signed_weight,absolute_directional_weight,directional_balance,first_observed_date,last_observed_date,available_date,source
pres_2025,21,2022-03-28,security_nk,person,문재인,False,attack,1,1.125,-0.7312500000000001,0.7312500000000001,-1.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,security_nk,person,문재인,False,neutral,23,14.424999999999995,0.0,0.0,0.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,security_nk,person,박근혜,False,neutral,1,0.35,0.0,0.0,0.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,security_nk,person,윤석열,False,neutral,2,2.125,0.0,0.0,0.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,security_nk,person,이명박,False,neutral,2,0.7,0.0,0.0,0.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,unification_event,government,정부,False,neutral,1,0.35,0.0,0.0,0.0,2022-03-30,2022-03-30,2022-03-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,welfare_pension,government,청와대,False,neutral,1,0.35,0.0,0.0,0.0,2022-03-28,2022-03-28,2022-03-28,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,welfare_pension,party,더불어민주당,False,neutral,1,0.35,0.0,0.0,0.0,2022-03-29,2022-03-29,2022-03-29,assembly_stance_full_corpus_v1
pres_2025,21,2022-03-28,withdrawal_event,party,국민의힘,False,neutral,1,0.35,0.0,0.0,0.0,2022-03-30,2022-03-30,2022-03-30,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,economy_growth,government,정부,False,neutral,1,0.385,0.0,0.0,0.0,2022-04-04,2022-04-04,2022-04-04,assembly_stance_full_corpus_v1
pres_2025,21,2022-04-04,external_shock,government,정부,False,neutral,1,0.385,0.0,0.0,0.0,2022-04-07,2022-04-07,2022-04-07,assembly_stance_full_corpus_v1
