variant,layer,election_id,region_id,donor_slot,recipient_slots,candidate_ballot_recent_base,floor_mode,recipient_weight_mode,protected_floor,before,reservoir,gain,transfer,after,beneficiary_slot,burdened_slot,projected_margin,government_rejection_strength,dominance_activation,regime_certainty,veto_rate,base_runner_core_floor,rupture_floor_activation,theoretical_floor,effective_runner_floor,runner_flexible_mass
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_28,C,A,0.0255062904560678,candidate_ballot,affinity_only,0.0255062904560678,0.0628007914541384,0.03729450099807061,0.25,0.009323625249517652,0.05347716620462075,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_29,C,A,0.0779749988731636,candidate_ballot,affinity_only,0.0779749988731636,0.13470135499955999,0.056726356126396385,0.25,0.014181589031599096,0.12051976596796089,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_30,C,A,0.0189676131685742,candidate_ballot,affinity_only,0.0189676131685742,0.07541672695525059,0.056449113786676386,0.25,0.014112278446669096,0.061304448508581494,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_41,C,A,0.0208780312728109,candidate_ballot,affinity_only,0.0208780312728109,0.0582204292272906,0.0373423979544797,0.25,0.009335599488619926,0.04888482973867067,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_42,C,A,0.0200289187580357,candidate_ballot,affinity_only,0.0200289187580357,0.08644776691940981,0.06641884816137411,0.25,0.016604712040343528,0.06984305487906628,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_43,C,A,0.0118716878700329,candidate_ballot,affinity_only,0.0118716878700329,0.073307369008016,0.0614356811379831,0.25,0.015358920284495776,0.05794844872352023,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_44,C,A,0.0095463081839152,candidate_ballot,affinity_only,0.0095463081839152,0.0454043056427732,0.035857997458858,0.25,0.0089644993647145,0.0364398062780587,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_45,C,A,0.0228231814936564,candidate_ballot,affinity_only,0.0228231814936564,0.12765526252633258,0.10483208103267619,0.25,0.026208020258169047,0.10144724226816354,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_46,C,A,0.0132624825931937,candidate_ballot,affinity_only,0.0132624825931937,0.1355353392318388,0.12227285663864511,0.25,0.030568214159661277,0.10496712507217752,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_47,C,A,0.0296959172831779,candidate_ballot,affinity_only,0.0296959172831779,0.044961143703039996,0.015265226419862096,0.25,0.003816306604965524,0.04114483709807447,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_48,C,A,0.0344685791555901,candidate_ballot,affinity_only,0.0344685791555901,0.08956691942847561,0.05509834027288551,0.25,0.013774585068221377,0.07579233436025423,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2002,sido_50,C,A,0.0,candidate_ballot,affinity_only,0.0,0.14725700977512168,0.14725700977512168,0.25,0.03681425244378042,0.11044275733134126,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_11,C,B,0.029384832583875,candidate_ballot,affinity_only,0.029384832583875,0.050248992454795804,0.020864159870920804,0.25,0.005216039967730201,0.045032952487065604,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_26,C,B,0.0399820977460082,candidate_ballot,affinity_only,0.0399820977460082,0.0473199437571172,0.007337846011108998,0.25,0.0018344615027772494,0.045485482254339946,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_28,C,B,0.0485003528440327,candidate_ballot,affinity_only,0.0485003528440327,0.053431832125359804,0.004931479281327103,0.25,0.0012328698203317758,0.05219896230502803,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_30,C,B,0.0287620743601844,candidate_ballot,affinity_only,0.0287620743601844,0.050309115688382,0.021547041328197597,0.25,0.005386760332049399,0.0449223553563326,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_36,C,B,0.0509430370441767,candidate_ballot,affinity_only,0.0509430370441767,0.059766017091437404,0.008822980047260703,0.25,0.002205745011815176,0.05756027207962223,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_41,C,B,0.0359763522960836,candidate_ballot,affinity_only,0.0359763522960836,0.044584193152954005,0.008607840856870407,0.25,0.0021519602142176016,0.0424322329387364,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_42,C,B,0.0308172356117518,candidate_ballot,affinity_only,0.0308172356117518,0.0467143452487786,0.0158971096370268,0.25,0.0039742774092567,0.0427400678395219,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_43,C,B,0.0345580698080987,candidate_ballot,affinity_only,0.0345580698080987,0.0473340120894684,0.012775942281369697,0.25,0.003193985570342424,0.04414002651912598,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_44,C,B,0.0309340683403439,candidate_ballot,affinity_only,0.0309340683403439,0.0470230898709314,0.0160890215305875,0.25,0.004022255382646875,0.043000834488284526,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_45,C,B,0.0459485902537228,candidate_ballot,affinity_only,0.0459485902537228,0.072396137958621,0.026447547704898204,0.25,0.006611886926224551,0.06578425103239645,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_46,C,B,0.0592373366011094,candidate_ballot,affinity_only,0.0592373366011094,0.0717368476043744,0.012499511003265004,0.25,0.003124877750816251,0.06861196985355815,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_47,C,B,0.0343795636905044,candidate_ballot,affinity_only,0.0343795636905044,0.035418246775361595,0.0010386830848571962,0.25,0.00025967077121429906,0.0351585760041473,,,,,,,,,,,,
strong_0.00__weak_0.25,weak_same_lane_refusal,pres_2022,sido_50,C,B,0.0503767176193264,candidate_ballot,affinity_only,0.0503767176193264,0.0736760597070336,0.023299342087707203,0.25,0.005824835521926801,0.0678512241851068,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_11,C,A,0.0172553182802303,candidate_ballot,affinity_only,0.0172553182802303,0.060625852107862005,0.0433705338276317,0.5,0.02168526691381585,0.038940585194046154,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_26,C,A,0.039818482004606,candidate_ballot,affinity_only,0.039818482004606,0.106651538788824,0.066833056784218,0.5,0.033416528392109,0.073235010396715,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_27,C,A,0.0058164519761945,candidate_ballot,affinity_only,0.0058164519761945,0.0517226551782034,0.0459062032020089,0.5,0.02295310160100445,0.02876955357719895,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_28,C,A,0.0255062904560678,candidate_ballot,affinity_only,0.0255062904560678,0.0628007914541384,0.03729450099807061,0.5,0.018647250499035303,0.0441535409551031,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_29,C,A,0.0779749988731636,candidate_ballot,affinity_only,0.0779749988731636,0.13470135499955999,0.056726356126396385,0.5,0.028363178063198193,0.1063381769363618,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_30,C,A,0.0189676131685742,candidate_ballot,affinity_only,0.0189676131685742,0.07541672695525059,0.056449113786676386,0.5,0.028224556893338193,0.0471921700619124,,,,,,,,,,,,
strong_0.00__weak_0.50,weak_same_lane_refusal,pres_2002,sido_41,C,A,0.0208780312728109,candidate_ballot,affinity_only,0.0208780312728109,0.0582204292272906,0.0373423979544797,0.5,0.01867119897723985,0.03954923025005075,,,,,,,,,,,,
