region_id,lineage_id,lineage_gap,lineage_reliability,effective_n,prior_events,source_party_names,weighted_gap,regional_distinctiveness,target_election_id
sido_46,party:호국당,0.0032588470483146457,0.4,1.0,1,호국당,0.0013035388193258584,0.47869117422574153,pres_2022
sido_46,party:홍익당,0.0003995703436805099,0.6002156681882488,2.2921038968067338,3,홍익당,0.00023982838082040546,0.47869117422574153,pres_2022
sido_46,party:희망사회당,-0.001033074006441233,0.6526714640667471,2.9225170699941074,3,,-0.0006742579242732997,0.47869117422574153,pres_2022
sido_46,party:희망의한국신당,-0.006116772974127547,0.4,1.0,1,,-0.002446709189651019,0.47869117422574153,pres_2022
sido_46,unresolved_third,0.0910197238738354,0.5290147471355829,7.461442888967956,10,제3지대,0.048150776209467616,0.47869117422574153,pres_2022
sido_47,chungcheong_regionalist,-0.03284837121988503,0.6932487705568675,21.666413526100428,26,국민중심당|자민련|자유민주연합|자유선진당|제3지대|충청의미래당,-0.022772092962980887,0.3812512930617966,pres_2022
sido_47,mainstream_conservative,0.31286881442762515,0.8101601843805366,36.70866447019013,47,국민의힘|미래통합당|민주자유당|새누리당|신한국당|한나라당,0.2534738563836047,0.3812512930617966,pres_2022
sido_47,mainstream_liberal,-0.2597377440387346,0.8026511719680096,36.70866447019013,47,더불어민주당|민주당|민주통합당|새정치국민회의|새천년민주당|열린우리당|통합민주당,-0.20847880465701724,0.3812512930617966,pres_2022
sido_47,mainstream_progressive,-0.007444788606684814,0.5773771302086623,5.711105192041795,7,민주노동당|민중당|정의당|진보신당|통합진보당,-0.004298450680737823,0.3812512930617966,pres_2022
sido_47,party:21세기한독당,-0.00014371150481370397,0.4,1.0,1,,-5.748460192548159e-05,0.3812512930617966,pres_2022
sido_47,party:가자!대국민중심당,0.002721010211099208,0.4,1.0,1,가자!대국민중심당,0.0010884040844396832,0.3812512930617966,pres_2022
sido_47,party:가자!평화인권당,0.00010633814980378602,0.5569457980679652,1.8925911014380399,2,가자!평화인권당,5.922458570754044e-05,0.3812512930617966,pres_2022
sido_47,party:가자환경당,-4.5338168447558865e-05,0.4,1.0,1,가자환경당,-1.8135267379023546e-05,0.3812512930617966,pres_2022
sido_47,party:가자희망2080,0.0009039459556565776,0.5501598617928136,1.8925911014380397,2,가자희망2080,0.0004973147820321955,0.3812512930617966,pres_2022
sido_47,party:개혁국민신당,0.00022866075104361206,0.4,1.0,1,개혁국민신당,9.146430041744483e-05,0.3812512930617966,pres_2022
sido_47,party:건국당,-3.60962701964648e-06,0.4,1.0,1,,-1.4438508078585922e-06,0.3812512930617966,pres_2022
sido_47,party:건설국민승리21,0.0007388665789488883,0.4,1.0,1,건설국민승리21,0.00029554663157955536,0.3812512930617966,pres_2022
sido_47,party:겨레자유평화통일당,-3.740255344354668e-05,0.4,1.0,1,,-1.4961021377418673e-05,0.3812512930617966,pres_2022
sido_47,party:경제공화당,-0.0009966369335558875,0.4,1.0,1,경제공화당,-0.00039865477342235505,0.3812512930617966,pres_2022
sido_47,party:경제애국당,4.740772956501762e-05,0.4,1.0,1,경제애국당,1.896309182600705e-05,0.3812512930617966,pres_2022
sido_47,party:고용복지연금선진화연대,0.0001371509029860941,0.5564754892343635,1.8925911014380394,2,고용복지연금선진화연대,7.632111583812145e-05,0.3812512930617966,pres_2022
sido_47,party:공명민주당,-0.0010914572379568273,0.4,1.0,1,,-0.0004365828951827309,0.3812512930617966,pres_2022
sido_47,party:공화당,8.477722117814589e-05,0.8366027702401555,8.0361826887171,10,공화당,7.092485809089923e-05,0.3812512930617966,pres_2022
sido_47,party:구국참사람연합,-9.18543096824541e-06,0.4,1.0,1,,-3.6741723872981643e-06,0.3812512930617966,pres_2022
sido_47,party:구국총연합,0.00033539211370712076,0.5548177543604034,1.8925911014380397,2,구국총연합,0.0001860814993571738,0.3812512930617966,pres_2022
sido_47,party:국가혁명배당금당,0.0017693419422980647,0.5509018018081833,1.8925911014380399,2,국가혁명배당금당,0.0009747336640267945,0.3812512930617966,pres_2022
sido_47,party:국민대통합당,-9.971043102820004e-05,0.4,1.0,1,국민대통합당,-3.9884172411280016e-05,0.3812512930617966,pres_2022
sido_47,party:국민새정당,8.30889592592643e-05,0.5571492473690064,1.8925911014380399,2,국민새정당,4.6292951115973134e-05,0.3812512930617966,pres_2022
sido_47,party:국민생각,-0.0007339388835394848,0.4,1.0,1,국민생각,-0.00029357555341579395,0.3812512930617966,pres_2022
sido_47,party:국민실향안보당,0.0067474561418338465,0.5071823470983092,1.8925911014380392,2,국민실향안보당,0.003422190642958192,0.3812512930617966,pres_2022
sido_47,party:국민의 힘,-2.0447649020194096e-06,0.4,1.0,1,,-8.179059608077639e-07,0.3812512930617966,pres_2022
sido_47,party:국민의당,-0.13375957206127123,0.5191730090734907,1.9531260610733965,2,국민의당|제3지대,-0.0694443595194326,0.3812512930617966,pres_2022
sido_47,party:국민참여신당,8.869399448892364e-05,0.4,1.0,1,국민참여신당,3.5477597795569454e-05,0.3812512930617966,pres_2022
sido_47,party:국민통합21,-0.0034958853745965966,0.5187947407142154,1.8925911014380397,2,국민통합21,-0.001813646946480459,0.3812512930617966,pres_2022
sido_47,party:국민행복당,0.0009063512212989475,0.557239144170004,1.8925911014380392,2,국민행복당,0.0005050543788740634,0.3812512930617966,pres_2022
sido_47,party:기독당,-5.450897856319886e-05,0.774355311919998,6.111511833501844,7,기독당,-4.220931709774633e-05,0.3812512930617966,pres_2022
sido_47,party:기독자유당,0.006247251734377867,0.5099561821686194,1.8925911014380394,2,기독자유당,0.003185824643509623,0.3812512930617966,pres_2022
sido_47,party:기독자유통일당,0.003405366013803675,0.526965238856237,1.8925911014380399,2,기독자유통일당,0.0017945095148569653,0.3812512930617966,pres_2022
sido_47,party:기본소득당,-4.45696479345004e-05,0.4,1.0,1,,-1.782785917380016e-05,0.3812512930617966,pres_2022
sido_47,party:깨어있는시민연대당,5.345299560606488e-05,0.4,1.0,1,깨어있는시민연대당,2.138119824242595e-05,0.3812512930617966,pres_2022
sido_47,party:남북통일당,0.0001718921834437297,0.4,1.0,1,남북통일당,6.875687337749189e-05,0.3812512930617966,pres_2022
sido_47,party:노년권익보호당,0.002185779602835234,0.7152871082001163,4.771165370462457,5,노년권익보호당,0.0015634599712748133,0.3812512930617966,pres_2022
sido_47,party:노동당,-0.0030122237168633166,0.5493211201320205,1.9738192876842646,2,,-0.0016546781062355953,0.3812512930617966,pres_2022
sido_47,party:녹색당,2.083865004726422e-05,0.5458225584435942,1.9738192876842637,2,녹색당,1.1374205283308481e-05,0.3812512930617966,pres_2022
sido_47,party:녹색사민당,-0.00032881826609092814,0.5406062675384641,1.8925911014380397,2,녹색사민당,-0.00017776121552988617,0.3812512930617966,pres_2022
sido_47,party:녹색평화당,-0.004874394488170369,0.6577860720566718,3.8595147842485975,4,,-0.0032063088040282786,0.3812512930617966,pres_2022
sido_47,party:늘푸른한국당,0.00021613190990447064,0.4,1.0,1,늘푸른한국당,8.645276396178826e-05,0.3812512930617966,pres_2022
sido_47,party:대한국당,5.630754770415667e-05,0.5572813948328603,1.8925911014380397,2,대한국당,3.137914872419025e-05,0.3812512930617966,pres_2022
sido_47,party:대한당,0.0001120549299059414,0.5469688644951203,1.8178022152668416,2,대한당,6.129055777173306e-05,0.3812512930617966,pres_2022
sido_47,party:대한민국당,0.0003003988403645362,0.5416996608267928,1.788415585217159,2,대한민국당,0.00016272594993823114,0.3812512930617966,pres_2022
sido_47,party:대한민주당,-0.000216953511675526,0.4,1.0,1,,-8.678140467021041e-05,0.3812512930617966,pres_2022
sido_47,party:대한정의당,0.00026965777198082646,0.4,1.0,1,대한정의당,0.00010786310879233059,0.3812512930617966,pres_2022
sido_47,party:무당파국민연합,0.028736840875613852,0.4,1.0,1,무당파국민연합,0.011494736350245541,0.3812512930617966,pres_2022
sido_47,party:문화예술당,0.0016411654436400444,0.4,1.0,1,문화예술당,0.0006564661774560178,0.3812512930617966,pres_2022
