election_id,region_id,donor_slot,recipient_slots,candidate_ballot_recent_base,floor_mode,recipient_weight_mode,declared_origin_lane,resolved_origin_lane,protected_floor,before,reservoir,gain,transfer,after
pres_2022,sido_27,C,A|B,0.0389354436816256,theoretical,prediction_tilted,liberal,liberal,0.01,0.0359663815059681,0.025966381505968097,0.5,0.012983190752984049,0.02298319075298405
pres_2022,sido_28,C,A|B,0.0485003528440327,theoretical,prediction_tilted,liberal,liberal,0.01,0.05347142899450401,0.043471428994504006,0.5,0.021735714497252003,0.031735714497252
pres_2022,sido_29,C,A|B,0.0876883018010707,theoretical,prediction_tilted,liberal,liberal,0.01,0.08444939305246102,0.07444939305246102,0.5,0.03722469652623051,0.04722469652623051
pres_2022,sido_30,C,A|B,0.0287620743601844,theoretical,prediction_tilted,liberal,liberal,0.01,0.05034421563097051,0.04034421563097051,0.5,0.020172107815485254,0.030172107815485256
pres_2022,sido_31,C,A|B,0.176134143020495,theoretical,prediction_tilted,liberal,liberal,0.01,0.1023586265983013,0.09235862659830131,0.5,0.046179313299150655,0.05617931329915065
pres_2022,sido_36,C,A|B,0.0509430370441767,theoretical,prediction_tilted,liberal,liberal,0.01,0.0598035400456668,0.0498035400456668,0.5,0.0249017700228334,0.0349017700228334
pres_2022,sido_41,C,A|B,0.0359763522960836,theoretical,prediction_tilted,liberal,liberal,0.01,0.0448499290600984,0.0348499290600984,0.5,0.0174249645300492,0.027424964530049202
pres_2022,sido_42,C,A|B,0.0308172356117518,theoretical,prediction_tilted,liberal,liberal,0.01,0.04677523041907241,0.03677523041907241,0.5,0.018387615209536204,0.028387615209536206
pres_2022,sido_43,C,A|B,0.0345580698080987,theoretical,prediction_tilted,liberal,liberal,0.01,0.0473784344057467,0.037378434405746695,0.5,0.018689217202873348,0.02868921720287335
pres_2022,sido_44,C,A|B,0.0309340683403439,theoretical,prediction_tilted,liberal,liberal,0.01,0.0470815711394072,0.037081571139407195,0.5,0.018540785569703597,0.0285407855697036
pres_2022,sido_45,C,A|B,0.0459485902537228,theoretical,prediction_tilted,liberal,liberal,0.01,0.07221583458296651,0.06221583458296651,0.5,0.031107917291483256,0.04110791729148326
pres_2022,sido_46,C,A|B,0.0592373366011094,theoretical,prediction_tilted,liberal,liberal,0.01,0.07154560908966338,0.06154560908966338,0.5,0.03077280454483169,0.04077280454483169
pres_2022,sido_47,C,A|B,0.0343795636905044,theoretical,prediction_tilted,liberal,liberal,0.01,0.0355212409336342,0.0255212409336342,0.5,0.0127606204668171,0.0227606204668171
pres_2022,sido_48,C,A|B,0.0766151338961869,theoretical,prediction_tilted,liberal,liberal,0.01,0.06254041997457681,0.052540419974576806,0.5,0.026270209987288403,0.0362702099872884
pres_2022,sido_50,C,A|B,0.0503767176193264,theoretical,prediction_tilted,liberal,liberal,0.01,0.07365402308213852,0.06365402308213852,0.5,0.03182701154106926,0.041827011541069256
