election_id,region_id,regional_distinctiveness,maximum_absolute_lineage_gap,lineages_with_prior_evidence,maximum_candidate_base_affinity,maximum_inherited_affinity,maximum_genealogy_affinity,maximum_genealogy_score,maximum_absolute_transfer,direct_lineage_score_enabled,direct_lineage_scope,target_outcome_used
pres_2017,sido_36,0.08654786907791578,0.09829719815603014,40,0.00839573437950846,0.6423846144867621,0.0,0.0,0.006338896875134226,True,non_major,False
pres_2017,sido_41,0.07634401555385492,0.02468079722617357,86,0.0029518856158742583,0.0,0.0,0.0,1.9495551612846995e-05,True,non_major,False
pres_2017,sido_42,0.21621580929673706,0.08766832271385742,86,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2017,sido_43,0.11276987925689254,0.04654776101033198,86,0.0,0.6423846144867621,0.0,0.0,0.0006146420384082196,True,non_major,False
pres_2017,sido_44,0.25790038739686155,0.23816678965815352,86,0.0011518496620552012,0.6423846144867621,0.0,0.0,0.016106545508854708,True,non_major,False
pres_2017,sido_45,0.44732035153910316,0.28013925251521665,86,0.1512601333287813,0.0,0.0,0.0,0.015566023717012156,True,non_major,False
pres_2017,sido_46,0.5076348706368385,0.3219156070253736,86,0.1575228915060574,0.0,0.0,0.0,0.01994228423572786,True,non_major,False
pres_2017,sido_47,0.37764748766636763,0.26525540429021216,86,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2017,sido_48,0.24583464717012576,0.13521254266227933,86,0.6224903777761738,0.0,0.0,0.0,0.018824683020208788,True,non_major,False
pres_2017,sido_50,0.11778931017433951,0.07236818816464181,77,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_11,0.1044651408902303,0.030730671019440416,117,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_26,0.18820941253138715,0.10798463960796416,115,0.0,0.0,0.0,0.0,1.1102230246251565e-16,True,non_major,False
pres_2022,sido_27,0.35039584591782497,0.21400363559899138,115,0.0,0.0,0.0,0.0,1.1102230246251565e-16,True,non_major,False
pres_2022,sido_28,0.08061416741552832,0.029704018079016178,115,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_29,0.4557088628202148,0.30433054506879714,115,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_30,0.13692339635764225,0.10625093943795844,115,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_31,0.26983118053655974,0.11262875112983334,109,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_36,0.06602569943959935,0.025828724767084532,71,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_41,0.0675075176547934,0.012480693696663814,117,0.453367703248963,0.0,0.0,0.0,0.0037951784279889322,True,non_major,False
pres_2022,sido_42,0.19549426115589136,0.0820139489414774,117,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_43,0.10230215289008217,0.03341250402020623,117,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_44,0.2002721565650572,0.15279073498643497,117,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_45,0.41804048080359213,0.26334193213941814,117,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_46,0.47869117422574153,0.29214246824697343,117,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_47,0.3812512930617966,0.2534738563836047,117,0.0,0.0,0.0,0.0,1.1102230246251565e-16,True,non_major,False
pres_2022,sido_48,0.23895817673660644,0.12677884912871715,117,0.0,0.0,0.0,0.0,0.0,True,non_major,False
pres_2022,sido_50,0.1321976997223029,0.07236818816464181,107,0.0,0.0,0.0,0.0,0.0,True,non_major,False
