viewer_title,speaker_blocks,source_blocks,text_source_mode,issue_rows,pdf_creation_datetime,available_date,availability_basis,model_eligible_at_cutoff,minutes_id,meeting_date,class_id,class_name,committee_code,committee_name,session,title,viewer_url,pdf_url,viewer_sha256,pdf_sha256,part_sha256,semantic_fingerprint
제22대국회 제420회 (임시회) 제4차 농림축산식품해양수산위원회 (2025.01.14.),658,658,official_xml_attributed_speech,124,2025-05-14T20:31:41,2025-05-15,official_pdf_creation_plus_safety_lag,True,52660,2025-01-14,2,standing_committee,AK,농림축산식품해양수산위원회,420,농림축산식품해양수산위원회 제4차 (2025. 01. 14.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52660&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52660,7634d84c5158e94cb2a58d4065870c74c0efeca3c61b1babd6d80f919d24cf2f,284bfdfe822aeae38b4eada5f95518c68b74e80c70d751207e3c86d1a2565353,6fd539c9b66563092fd7c872329f9ac2ada605edf5638110de75b962c9f16b04,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제1차 보건복지위원회 (2025.01.14.),670,670,official_xml_attributed_speech,434,2025-05-01T19:19:01,2025-05-02,official_pdf_creation_plus_safety_lag,True,52664,2025-01-14,2,standing_committee,AM,보건복지위원회,420,보건복지위원회 제1차 (2025. 01. 14.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52664&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52664,d94a44d69c8a7973647fae279b2df9d29d0c24e9ec8a024e9342f1f05a4a4d5b,d03dff26a589c7598296c70ff8567077cc3244440a3b867766f67a54b2272459,1c8bc84e14a5f1f3151b2b5e84f118b6d35248f489d71950173d04c9dfc88ba0,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제2차 국토교통위원회 (2025.01.14.),1268,1268,official_xml_attributed_speech,311,2025-03-20T16:43:37,2025-03-21,official_pdf_creation_plus_safety_lag,True,52668,2025-01-14,2,standing_committee,AO,국토교통위원회,420,국토교통위원회 제2차 (2025. 01. 14.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52668&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52668,94a7d211e9df17c903d853eb6fb7471e749338bb6091ec6eef28df7e3f5d5d90,1095083e8b88ec52892c21b65331eee1f132fb5bac9b368aad32cf87e9bc52f8,df8dd9b32075299b99e917c3e5e0a9f702fc7f42644ef2634ec7103b058dba61,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제4차 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회 (2025.01.15.),2552,2552,official_xml_attributed_speech,555,2025-05-01T17:09:23,2025-05-02,official_pdf_creation_plus_safety_lag,True,52051,2025-01-15,6,investigation,AA,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회,420,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회 제4차 (2025. 01. 15.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52051&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52051,85bebaa6194ae585007ccd10eefa3c407702cda7f19e0c9bfaf38caaad359d8f,84027065c0a87102cf5a373a502c9334dae107ddb819c222730b42223fe47795,c48818eff979464ef0df6272fe8b51380d794d8fed31e32cf5f929ed00cb981b,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제4차 법제사법위원회(법안심사제1소위원회) (2025.01.15.),163,163,official_xml_attributed_speech,97,2025-05-28T10:02:15,2025-05-29,official_pdf_creation_plus_safety_lag,True,52635,2025-01-15,2,standing_committee,AB,법제사법위원회,420,법안심사제1소위원회 제4차 (2025. 01. 15.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52635&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52635,2bf6ec465f6dd4691cacad4bb01897a5b6576cd0f207482a04a27b574b797c66,f29ebaf4e73d44e8b558566036cd8c8413f807f4df5032c2af63a7096c8cd66b,8caaef4f5b762f5928e0dfa8c144bcb80cf0708ef318062e40e3ecc5aa5f3ede,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제1차 문화체육관광위원회(체육관광법안심사소위원회) (2025.01.15.),286,286,official_xml_attributed_speech,39,2025-04-18T14:39:25,2025-04-19,official_pdf_creation_plus_safety_lag,True,52656,2025-01-15,2,standing_committee,AJ,문화체육관광위원회,420,체육관광법안심사소위원회 제1차 (2025. 01. 15.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52656&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52656,4ccdc905b7b94ce1ca7356f86d0898feb6655525e774c22440e2a77f6a7d8499,843ee2bd024aeba5e4f1f283a7ed25579bc8dcf72238d6491cbcdb26aa944a67,037edd7ee25fc5316b610f35e90138ba0d43482f206931a78a88908557b5613b,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제1차 문화체육관광위원회(문화예술법안심사소위원회) (2025.01.16.),280,280,official_xml_attributed_speech,49,2025-04-18T14:38:47,2025-04-19,official_pdf_creation_plus_safety_lag,True,52655,2025-01-16,2,standing_committee,AJ,문화체육관광위원회,420,문화예술법안심사소위원회 제1차 (2025. 01. 16.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52655&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52655,2e62ae2c2bd7482841af98ec45d0dfc97fee8aa5c5c4b1b45330a0411d302a98,d355414bfe9844e4b3edcc53d79a6da226ce1d5ff317035e76ccd49f37476f26,8a42f114e2479ba270ee3257368e508c415a6c95131a19769aada32b4403555d,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제3차 국토교통위원회 (2025.01.16.),2,2,official_xml_attributed_speech,7,2025-01-24T12:39:35,2025-01-25,official_pdf_creation_plus_safety_lag,True,52669,2025-01-16,2,standing_committee,AO,국토교통위원회,420,국토교통위원회 제3차 (2025. 01. 16.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52669&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52669,7ecfc79a6245b79b564feb0d8f3aef5bfe5de3635230e2e419894f20843a48a1,75daaca606943e2bc1d5fb74698b5ec7dea9e4b1bd64930a1cea8084ed2cdcac,13758349d74312aab320e201f0367773dc2782507d9c38fa70c2090bb7f9ee86,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제420회 (임시회) 제1차 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회 (2025.01.16.),27,27,official_xml_attributed_speech,80,2025-05-14T20:49:22,2025-05-15,official_pdf_creation_plus_safety_lag,True,52676,2025-01-16,3,special_committee,AD,12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회,420,12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회 제1차 (2025. 01. 16.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52676&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52676,a7d4f4abb1cc510028394d42b5287914c03967bd9af3a61e206d341f8fa36444,382c7fa504524cf21ac3323029ec2128a25e513391b82d0c56bbc780f6fc7952,f65bb27f5a28c5f56d9fd58a18f907b050eb0f3ce20a403b7219972e33f575fa,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
제22대국회 제421회 (임시회) 제1차 국회운영위원회 (2025.01.17.),1368,1368,official_xml_attributed_speech,57,2025-06-10T13:35:40,2025-06-11,official_pdf_creation_plus_safety_lag,False,52682,2025-01-17,2,standing_committee,AA,국회운영위원회,421,국회운영위원회 제1차 (2025. 01. 17.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52682&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52682,b2be9d66065d6c621221c9e800720669d43ecb2f2f1e55d8f2844893b10a7f21,01ca04c9b5720143be7f8ea43d9d04ca0d0420b329bf1148ab25784fe2f58d80,780837758e887f4288e9acc4211ed09331fddad8b13bb4b80336572d3b6e29d2,08c6ed8041c78922005c4dc5c74cb3a41eea46221908a008180ea5c445265ecb
