minutes_id,class_id,class_name,committee_code,committee_name,session,meeting_date,title,viewer_url,pdf_url
52714,2,standing_committee,AE,교육위원회,422,2025-02-06,법안심사소위원회 제1차 (2025. 02. 06.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52714&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52714
52754,3,special_committee,AD,12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회,422,2025-02-06,12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회 제2차 (2025. 02. 06.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52754&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52754
52710,2,standing_committee,AD,기획재정위원회,422,2025-02-10,경제재정소위원회 제1차 (2025. 02. 10.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52710&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52710
52757,1,plenary,,plenary,422,2025-02-10,제2차 (2025. 02. 10.) (보존부록),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52757&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52757
52709,2,standing_committee,AD,기획재정위원회,422,2025-02-11,조세소위원회 제1차 (2025. 02. 11.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52709&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52709
52720,2,standing_committee,AH,국방위원회,422,2025-02-11,국방위원회 제1차 (2025. 02. 11.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52720&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52720
52758,1,plenary,,plenary,422,2025-02-11,제3차 (2025. 02. 11.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52758&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52758
52698,2,standing_committee,AB,법제사법위원회,422,2025-02-12,법제사법위원회 제1차 (2025. 02. 12.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52698&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52698
52752,2,standing_committee,AQ,여성가족위원회,422,2025-02-12,법안심사소위원회 제1차 (2025. 02. 12.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52752&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52752
52759,1,plenary,,plenary,422,2025-02-12,제4차 (2025. 02. 12.) (보존부록),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52759&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52759
52058,6,investigation,AA,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회,422,2025-02-13,윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회 제8차 (2025. 02. 13.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52058&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52058
52735,2,standing_committee,AK,농림축산식품해양수산위원회,422,2025-02-13,농림축산식품법안심사소위원회 제1차 (2025. 02. 13.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52735&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52735
52751,2,standing_committee,AQ,여성가족위원회,422,2025-02-13,여성가족위원회 제1차 (2025. 02. 13.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52751&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52751
52760,1,plenary,,plenary,422,2025-02-13,제5차 (2025. 02. 13.) (보존부록),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52760&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52760
52696,2,standing_committee,AA,국회운영위원회,422,2025-02-14,국회운영위원회 제1차 (2025. 02. 14.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52696&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52696
52740,2,standing_committee,AM,보건복지위원회,422,2025-02-14,보건복지위원회 제1차 (2025. 02. 14.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52740&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52740
52761,1,plenary,,plenary,422,2025-02-14,제6차 (2025. 02. 14.) (보존부록),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52761&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52761
52700,2,standing_committee,AB,법제사법위원회,422,2025-02-17,법안심사제1소위원회 제1차 (2025. 02. 17.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52700&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52700
52721,2,standing_committee,AH,국방위원회,422,2025-02-17,국방위원회 제2차 (2025. 02. 17.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52721&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52721
52739,2,standing_committee,AL,산업통상자원중소벤처기업위원회,422,2025-02-17,산업통상자원특허소위원회 제1차 (2025. 02. 17.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52739&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52739
52702,2,standing_committee,AC,정무위원회,422,2025-02-18,정무위원회 제1차 (2025. 02. 18.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52702&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52702
52708,2,standing_committee,AD,기획재정위원회,422,2025-02-18,기획재정위원회 제1차 (2025. 02. 18.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52708&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52708
52711,2,standing_committee,AD,기획재정위원회,422,2025-02-18,경제재정소위원회 제2차 (2025. 02. 18.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52711&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52711
52712,2,standing_committee,AE,교육위원회,422,2025-02-18,교육위원회 제1차 (2025. 02. 18.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52712&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52712
52723,2,standing_committee,AH,국방위원회,422,2025-02-18,법률안심사소위원회 제1차 (2025. 02. 18.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52723&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52723
52733,2,standing_committee,AK,농림축산식품해양수산위원회,422,2025-02-18,농림축산식품해양수산위원회 제1차 (2025. 02. 18.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52733&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52733
52741,2,standing_committee,AM,보건복지위원회,422,2025-02-18,보건복지위원회 제2차 (2025. 02. 18.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52741&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52741
52749,2,standing_committee,AN,환경노동위원회,422,2025-02-18,환경법안심사소위원회 제1차 (2025. 02. 18.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52749&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52749
52750,2,standing_committee,AO,국토교통위원회,422,2025-02-18,국토교통위원회 제1차 (2025. 02. 18.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52750&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52750
54447,2,standing_committee,AI,행정안전위원회,422,2025-02-18,행정안전위원회 제1차 (2025. 02. 18.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=54447&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=54447
52697,2,standing_committee,AA,국회운영위원회,422,2025-02-19,국회운영위원회 제2차 (2025. 02. 19.),https://record.assembly.go.kr/assembly/viewer/minutes/xml.do?id=52697&type=view,https://record.assembly.go.kr/assembly/viewer/minutes/download/pdf.do?id=52697
